product_id,product_url,product_details,product_image_url
1,https://www.meesho.com/kurti/p/6pmfaa,Name:KURTI,https://images.meesho.com/images/products/405833698/qep56_512.webp
2,https://www.meesho.com/myra-superior-kurtis/p/5hbic8,Name:Myra Superior Kurtis,https://images.meesho.com/images/products/331421336/vc2f9_512.webp
3,https://www.meesho.com/aagam-petite-kurtis/p/4fkmbm,Name:Aagam Petite Kurtis,https://images.meesho.com/images/products/268020994/cynd4_512.webp
4,https://www.meesho.com/stylish-comfortable-kurtis-for-every-occasion-trendy-elegant-and-versatile-cotton-embroidered-designs-for-women/p/6lsw0l,"This single Cotton Kurta is a testament to understated elegance. Featuring a solid pattern and three-quarter sleeves, this piece is perfect for those who appreciate simplicity with a touch of class. The cotton fabric ensures comfort and breathability, making it suitable for all-day wear. Available in an extensive range of sizes from XS to 5XL, this kurta is designed to provide a flattering fit for all. The kurta's length is a standard 42 inches, offering modest coverage. The ornamentation is minimal, with a focus on the gold-toned detailing on the neckline and cuffs, which adds a subtle sparkle to the solid color. Crafted with pride in India, this kurta is a versatile addition to any wardrobe. Pair it with your favorite trousers or a chic skirt for a polished look.",https://images.meesho.com/images/products/399416853/3rmom_512.webp
5,https://www.meesho.com/mahi-creation-new-womens-cotton-a-line-kurti/p/3ydjyd,Name:Mahi Creation New Women's Cotton A-Line  Kurti,https://images.meesho.com/images/products/239137861/hkazt_512.webp
6,https://www.meesho.com/front-slit-georgette-kurti-black-dress-nayra-cut-kurti-black-western-kurti/p/4mr7p5,"Elevate your evening wardrobe with this chic black Georgette dress. The sleeveless design makes it a perfect choice for warmer weather or sophisticated indoor events. Its solid color offers a versatile canvas for accessorizing, while the single piece design ensures exclusivity. Available in multiple sizes with a uniform length of 48 inches, this dress is both stylish and comfortable. Made with love in India, it's a must-have for those seeking a blend of contemporary style and ease.",https://images.meesho.com/images/products/280085945/26rps_512.webp
7,https://www.meesho.com/fancy-long-flair-anarkali-type-kurti/p/4yjkzs,"Step into a world of sophistication with this black Georgette kurti, designed to offer a touch of elegance to your wardrobe. The three-quarter sleeves and self-design pattern exude a sense of grace, while the fancy long flair adds a dramatic twist to your look. Available in sizes S to XXL, this kurti is a single piece that promises a flattering fit for every body type. Its lightweight fabric ensures comfort and breathability, making it an ideal choice for any casual or semi-formal event. Proudly made in India, this kurti is a blend of traditional charm and contemporary fashion.",https://images.meesho.com/images/products/299885320/auqci_512.webp
8,https://www.meesho.com/mm-leherya-only-kurti/p/59bvfp,"This sleeveless striped kurti in a refreshing lime green hue is a perfect addition to your summer wardrobe. Crafted from comfortable rayon fabric, it offers a relaxed fit for all-day ease. The kurti features a straight fit with a single piece combo, making it a versatile choice for various occasions. Available in sizes S to XXL, it caters to a wide range of body shapes. The kurti's striped pattern adds a touch of playfulness, while its sleeveless design keeps you cool during warmer days. Proudly made in India, this kurti is ideal for both casual and semi-formal events.",https://images.meesho.com/images/products/318001381/pramb_512.webp
9,https://www.meesho.com/straight-kurti/p/3c6tw6,"This Printed Straight Kurti is a fusion of comfort and style, ideal for your everyday wardrobe. The rayon fabric ensures a soft touch and ease of wear throughout the day. With three-quarter sleeves, this kurti offers a versatile look that can transition from work to casual outings. The printed pattern is trendy and adds a playful element to the design. Offered as a single combo, it is available in a range of sizes to accommodate different body sizes. The straight fit_shape is sleek and modern, while the knee-length is perfect for a modest yet fashionable appearance. The stitch type is of superior quality, providing a well-constructed garment. Suitable for a variety of occasions, this kurti can be dressed up or down. The round neck design is simple yet elegant, and the teal color with geometric prints is both vibrant and appealing. Crafted in India, this kurti represents the blend of traditional prints with contemporary fashion sensibilities.",https://images.meesho.com/images/products/201872598/s89og_512.webp
10,https://www.meesho.com/flower-print-long-kurti-with-dupatta-no-bottomwear/p/68n5tv,Name:Flower Print Long Kurti With Dupatta (No Bottomwear),https://images.meesho.com/images/products/377314627/pr43w_512.webp
11,https://www.meesho.com/blushh-collection-womens-sweaters/p/6dkl7,Name:BLUSHH COLLECTION Women's Sweaters,https://images.meesho.com/images/products/10710907/009f5_512.webp
12,https://www.meesho.com/girls-stylish-woolen-hoody/p/66y6pq,Name:GIRLS STYLISH WOOLEN HOODY,https://images.meesho.com/images/products/374469758/irqla_512.webp
13,https://www.meesho.com/suits-sharts-1-sweaters/p/2z96zy,Name:Suits Sharts 1 Sweaters,https://images.meesho.com/images/products/180147886/cgiar_512.webp
14,https://www.meesho.com/pretty-graceful-women-sweaters/p/53hxuy,Name:Pretty Graceful Women Sweaters,https://images.meesho.com/images/products/308206762/5bebo_512.webp
15,https://www.meesho.com/fashionable-women-sweatshirts-black-zipper-front-open-sweaters-for-women-winter-wear/p/5wwh2c,"Name:Fashionable Women Sweatshirts , Black, zipper, front open, Sweaters for women, Winter Wear,",https://images.meesho.com/images/products/357593700/ykzol_512.webp
16,https://www.meesho.com/fancy-modern-women-sweaters/p/13cjmr,Name:Fancy Modern Women Sweaters,https://images.meesho.com/images/products/66090339/e9awm_512.webp
17,https://www.meesho.com/women-sweater-round-neck-women-sweater-pure-wool-best-for-casual-days-perfect-for-office-use-knitted-sweater-women-sweater-sweater/p/79ffi7,Name:Women sweater round neck  | Women sweater pure wool best for casual days perfect for office use | Knitted sweater | women sweater | sweater,https://images.meesho.com/images/products/439099711/xtnfi_512.webp
18,https://www.meesho.com/vardhman-collection-women-winter-full-sleeve-cardigan-pack-of-1/p/70ogqn,Name:Vardhman Collection Women Winter Full Sleeve Cardigan (Pack Of 1),https://images.meesho.com/images/products/424404671/edazm_512.webp
19,https://www.meesho.com/comfy-partywear-women-sweaters/p/7c0n6v,Name:Comfy partywear women sweaters,https://images.meesho.com/images/products/443448679/ub4xq_512.webp
20,https://www.meesho.com/grand-line-womens-acrylic-woolen-winter-wear-warm-kurta-with-palazzo-set-for-casual-formal-occasion/p/6hkr6h,Name:Grand Line Women's Acrylic Woolen Winter Wear Warm Kurta with Palazzo set for casual & formal occasion,https://images.meesho.com/images/products/392318873/kiufy_512.webp
21,https://www.meesho.com/woman-fancy-shirt/p/4rl68s,Name:WOMAN FANCY SHIRT,https://images.meesho.com/images/products/288202204/ijk7z_512.webp
22,https://www.meesho.com/black-check-shirt-long-oversized-shirts/p/4z1fhv,"Name:BLACK CHECK SHIRT LONG, Oversized Shirts",https://images.meesho.com/images/products/300718003/9xn9p_512.webp
23,https://www.meesho.com/classic-glamorous-women-shirts/p/65j8h3,Name:Classic Glamorous Women Shirts,https://images.meesho.com/images/products/372092583/edrio_512.webp
24,https://www.meesho.com/vertical-striped-pure-cotton-shirt-for-women/p/6s1z66,Name:Vertical Striped Pure Cotton Shirt for Women,https://images.meesho.com/images/products/409918542/mycwa_512.webp
25,https://www.meesho.com/girls-women-black-check-shirt/p/6uapic,Name:GIRLS & WOMEN BLACK CHECK SHIRT,https://images.meesho.com/images/products/413685156/aarob_512.webp
26,https://www.meesho.com/women-check-shirt-black/p/5mi6d4,Name:WOMEN  CHECK SHIRT BLACK,https://images.meesho.com/images/products/340130488/1u4un_512.webp
27,https://www.meesho.com/woman-fancy-shirt/p/2a3dey,Name:woman fancy shirt,https://images.meesho.com/images/products/137885866/sticd_512.webp
28,https://www.meesho.com/woman-chack-shirt-black/p/735emy,Name:WOMAN CHACK SHIRT BLACK,https://images.meesho.com/images/products/428554330/6qazy_512.webp
29,https://www.meesho.com/uea-womens-printed-casual-designer-shirt/p/5b71gy,Name:UEA Women's Printed Casual designer shirt,https://images.meesho.com/images/products/321135154/uan2g_512.webp
30,https://www.meesho.com/jd-textile-premium-shirt-mans-popcorn-shirt-havvy-quality-shirt-for-men-trendy-shirt-for-men-stylish-shirt-for-men-havvy-quality-shirt-fabric/p/7bxo5a,Name:JD textile PREMIUM SHIRT Man's popcorn shirt havvy quality shirt for men trendy shirt for men stylish shirt for men havvy quality shirt fabric,https://images.meesho.com/images/products/443309950/4mv1l_512.webp
31,https://www.meesho.com/men-shirt/p/7940zk,Name:Men shirt,https://images.meesho.com/images/products/438567680/eluk3_512.webp
32,https://www.meesho.com/classic-retro-men-shirts/p/67eadg,Name:Classic Retro Men Shirts,https://images.meesho.com/images/products/375220996/h1dwu_512.webp
33,https://www.meesho.com/pretty-retro-men-shirts/p/3kurgr,Name:Pretty Retro Men Shirts,https://images.meesho.com/images/products/216426123/e1q4g_512.webp
34,https://www.meesho.com/lycra-full-sleeves-shirt/p/6b2zjo,Name:LYCRA FULL SLEEVES SHIRT,https://images.meesho.com/images/products/381412212/eutsj_512.webp
35,https://www.meesho.com/stylish-modern-men-shirts/p/73745p,Name:Stylish Modern Men Shirts,https://images.meesho.com/images/products/428634061/rkwkb_512.webp
36,https://www.meesho.com/stylish-formal-shirts-for-mens/p/3dn0wn,Name:Stylish Formal Shirts For Mens,https://images.meesho.com/images/products/204307799/pd2lf_512.webp
37,https://www.meesho.com/vstrr-double-pocket-shirt-for-men/p/6ojpp1,Name:vstrr double pocket shirt for men,https://images.meesho.com/images/products/404027605/wavtw_512.webp
38,https://www.meesho.com/vrino-sport-shoes-for-men-and-boys/p/63wjae,Name:Vrino Sport Shoes for Men and boys,https://images.meesho.com/images/products/369353894/u6gli_512.webp
39,https://www.meesho.com/mens-running-shoes-ultra-lightweight-breathable-walking-shoes-non-slip-athletic-fashion-sneakers-mesh-workout-casual-sports/p/6opeml,Name:Men's Running Shoes Ultra Lightweight Breathable Walking Shoes Non Slip Athletic Fashion Sneakers Mesh Workout Casual Sports,https://images.meesho.com/images/products/404293197/j8ynx_512.webp
40,https://www.meesho.com/xylus-black-fancy-casual-shoes-for-man-gym-shoes-walking-shoes-casual-shoes-cycling-shoes-canvas-casual-black-shoes-black-canvas-boot/p/5sqxz5,Name:Xylus Black Fancy Casual Shoes for Man | Gym Shoes | Walking Shoes | |Casual Shoes | Cycling Shoes| Canvas Casual Black Shoes| Black Canvas Boot|,https://images.meesho.com/images/products/350617217/7dlka_512.webp
41,https://www.meesho.com/cooperwings-mens-easy-walk-sports-running-shoessneakers-gym-casual-sneaker-lace-up-lightweight-shoes/p/6hl49f,"Name:COOPERWINGS Men's Easy walk Sports Running ShoesSneakers, Gym Casual Sneaker Lace-Up Lightweight Shoes",https://images.meesho.com/images/products/392335827/7qi34_512.webp
42,https://www.meesho.com/cooperwings-mens-stylish-casual-sports-walking-sneakers-shoes-for-boys-and-men/p/6bompv,Name:Cooperwings Men's Stylish Casual Sports Walking Sneakers Shoes For Boys And Men,https://images.meesho.com/images/products/382422019/svlbi_512.webp
43,https://www.meesho.com/mesh-runningwalkinggym-sports-shoes-for-men-pack-of-2/p/5itjxx,Name:Mesh Running/Walking/Gym Sports Shoes For Men Pack of 2,https://images.meesho.com/images/products/333942837/mkg6o_512.webp
44,https://www.meesho.com/sw-mexico-stylish-sports-shoes-for-men/p/5meezq,Name:SW-Mexico Stylish Sports Shoes For Men,https://images.meesho.com/images/products/339955046/ze5bd_512.webp
45,https://www.meesho.com/stylish-trending-shoes-for-men/p/5qj4f1,Name:Stylish Trending  shoes for Men,https://images.meesho.com/images/products/346893085/9yj1m_512.webp
46,https://www.meesho.com/trending-girls-shoes-casual-and-sport-and-shoes/p/698fpo,Name:trending  girls shoes casual and sport and  shoes,https://images.meesho.com/images/products/378307212/vfjzl_512.webp
47,https://www.meesho.com/rm-latest-trending-girls-shoes/p/6h1ubm,Name:R.M Latest Trending Girls Shoes,https://images.meesho.com/images/products/391436482/b7dbg_512.webp
48,https://www.meesho.com/stryder-sneakers-for-women-latest-women-shoes-running-shoes-for-men-sport-shoes-for-women/p/4ej2a2,Name:Stryder Sneakers For Women Latest Women Shoes Running shoes for men Sport shoes for Women,https://images.meesho.com/images/products/266268746/ad9ay_512.webp
49,https://www.meesho.com/women-casual-shoes/p/4um4q9,Name:Women Casual Shoes,https://images.meesho.com/images/products/293285745/nlfqo_512.webp
50,https://www.meesho.com/n-n-white-casual-shoes-for-womens/p/6xxrb5,Name:N N  WHITE Casual Shoes For WOMENS,https://images.meesho.com/images/products/419799425/vxoqk_512.webp
51,https://www.meesho.com/jackrunner-casual-shoes-for-women/p/6ffsq6,Name:Jackrunner casual shoes for women,https://images.meesho.com/images/products/388728366/x60ho_512.webp
52,https://www.meesho.com/womens-shoes/p/6zhppj,Name:Women's shoes,https://images.meesho.com/images/products/422410087/b9duy_512.webp
53,https://www.meesho.com/baggy-jeanswomen-jean-womens-jean-jean-for-womens-trendy-jean-for-women/p/56s3q2,"Name:Baggy Jeans,Women jean Womens Jean jean For womens Trendy jean for Women",https://images.meesho.com/images/products/313719770/6dqxg_512.webp
54,https://www.meesho.com/stylish-womens-denim-jeans/p/2o59g,Name:Stylish Women's Denim Jeans,https://images.meesho.com/images/products/4485796/1_512.webp
55,https://www.meesho.com/ice-blue-denim-wide-leg-denim-jeans/p/6fuaar,Name:ICE BLUE DENIM WIDE LEG DENIM JEANS,https://images.meesho.com/images/products/389404323/qjpsk_512.webp
56,https://www.meesho.com/womens-4-button-plain-jeans-for-women-plus-size-women-and-girl/p/6icycb,Name:WOMENS 4-BUTTON PLAIN JEANS FOR WOMEN PLUS SIZE WOMEN AND GIRL,https://images.meesho.com/images/products/393634523/qppga_512.webp
57,https://www.meesho.com/women-girls-denim-pant-jeans-stretchable-and-stylish-denim-jeans-with-round-pocket-jet-blue-5-buttons-jeans-top-cargo-pants-baggy-jeans-jeans-pant-bell-bottom-jeans-denim-high-waist-jeans-ladies-jeans-skinny-jeans/p/4xl9g1,"Name:Women & Girls Denim Pant Jeans Stretchable and Stylish Denim Jeans with Round Pocket JET BLUE 5 BUTTONS, Jeans Top, cargo pants, baggy jeans, jeans pant, bell bottom jeans, denim, high waist jeans, ladies jeans, skinny jeans",https://images.meesho.com/images/products/298284049/reekc_512.webp
58,https://www.meesho.com/bellbottam-jeans-for-kids/p/6iuf2k,Name:Bellbottam jeans for kids,https://images.meesho.com/images/products/394449356/jiith_512.webp
59,https://www.meesho.com/trandy-women-fancy-cargo-pant/p/6qw49w,Name:Trandy Women Fancy Cargo Pant,https://images.meesho.com/images/products/407965604/m0kc2_512.webp
60,https://www.meesho.com/classic-baggy-jeans-for-kids/p/6ik2cv,Name:Classic baggy jeans for kids,https://images.meesho.com/images/products/393966319/vulyd_512.webp
61,https://www.meesho.com/boy-6-pocket-cargo/p/5vdfiz,Name:Boy 6 pocket Cargo,https://images.meesho.com/images/products/355025627/b2u7v_512.webp
62,https://www.meesho.com/women-denim-jeans-jogger-elastic-waist-drawstring-stretch-side-pockets-star-dark-and-bang-light-casual-jeans-pack-of-2/p/136mad,Name:Women Denim Jeans Jogger Elastic Waist Drawstring Stretch Side Pockets Star Dark and Bang Light Casual Jeans  Pack Of 2,https://images.meesho.com/images/products/65813845/ujovq_512.webp
63,https://www.meesho.com/women-fashionable-stylish-jeans-pant/p/6lun1u,Name:Women Fashionable Stylish Jeans Pant,https://images.meesho.com/images/products/399498546/weeft_512.webp
64,https://www.meesho.com/mens-slim-mid-rise-fashionable-stretchable-jeans-black/p/3cafm4,Name:Men's Slim Mid Rise Fashionable Stretchable Jeans (Black),https://images.meesho.com/images/products/202040716/orm8k_512.webp
65,https://www.meesho.com/baggy-jeanshighwaist-wideleg-jeans/p/5b6kyq,"Name:Baggy Jeans,HighWaist WideLeg Jeans",https://images.meesho.com/images/products/321113762/tzzly_512.webp
66,https://www.meesho.com/women-trnedy-skinny-fit-jeans/p/73s6zq,Name:Women trnedy skinny fit jeans,https://images.meesho.com/images/products/429617510/pfc5t_512.webp
67,https://www.meesho.com/jeans/p/6pbw5z,Name:Jeans,https://images.meesho.com/images/products/405342359/a0hzk_512.webp
68,https://www.meesho.com/stylish-single-button-slim-fit-stretchable-denim-jeans-for-girls-and-womens/p/2nnjho,Name:Stylish Single Button Slim Fit Stretchable Denim Jeans for Girl's and Women's,https://images.meesho.com/images/products/160661868/jxfdp_512.webp
69,https://www.meesho.com/jeans-combo-for-women/p/11kg6t,Name:jeans combo for women,https://images.meesho.com/images/products/63099893/ir1x1_512.webp
70,https://www.meesho.com/sfw-stylish-girls-trending-denim-jeans-skinny-fit-lightweight-stretchable/p/6iwrt1,Name:SFW Stylish Girls Trending Denim Jeans Skinny Fit -Lightweight & Stretchable,https://images.meesho.com/images/products/394559173/toryy_512.webp
71,https://www.meesho.com/go0dnightwhite/p/5jfoh0,Name:GO0D_NIGHT_WHITE,https://images.meesho.com/images/products/334975140/wezgj_512.webp
72,https://www.meesho.com/girls-womens-cotton-blend-slim-skinny-fit-high-waist-ankle-length-5-button-stretchable-jeans-dark-blue/p/1n9upz,Name:Girls & Womens Cotton Blend Slim Skinny Fit High Waist Ankle Length 5 Button Stretchable Jeans- DARK BLUE,https://images.meesho.com/images/products/99557063/rley0_512.webp
73,https://www.meesho.com/full-sleeve-sweater-for-men-sweater-for-office-brown/p/79nc9v,Name:Full Sleeve Sweater for Men/ Sweater for office  Brown,https://images.meesho.com/images/products/439468771/adkoh_512.webp
74,https://www.meesho.com/pretty-fashionista-men-sweaters/p/8jxoo,Name:Pretty Fashionista Men Sweaters,https://images.meesho.com/images/products/14367048/7dubb_512.webp
75,https://www.meesho.com/keesor-men-sweatshirtmen-jacketmen-cotton-hooded-neck-sweatshirt/p/6aimvq,Name:KEESOR Men Sweatshirt|Men Jacket|Men Cotton Hooded Neck Sweatshirt,https://images.meesho.com/images/products/380462678/te33u_512.webp
76,https://www.meesho.com/mens-sweatershirt/p/7b6l65,Name:Mens Sweatershirt,https://images.meesho.com/images/products/442046381/nln51_512.webp
77,https://www.meesho.com/men-winter-sweater-for-office-full-sleeves-round-neck-sweater-for-men-round-neck-pure-wool-pullover-baby-pink/p/5t7x56,Name:Men Winter Sweater For Office | Full Sleeves Round Neck Sweater For Men | Round Neck Pure Wool Pullover (Baby Pink),https://images.meesho.com/images/products/351409290/pbova_512.webp
78,https://www.meesho.com/men-striped-high-neck-wool-blend-sky-blue/p/7ajiwb,Name:Men Striped High Neck Wool Blend Sky Blue,https://images.meesho.com/images/products/440970347/lgl43_512.webp
79,https://www.meesho.com/sk004-rcb/p/14v44s,Name:SK004 RCB,https://images.meesho.com/images/products/68636332/qcnen_512.webp
80,https://www.meesho.com/hip-hop-fashion/p/3didnw,Name:HIP HOP FASHION,https://images.meesho.com/images/products/204091052/mst27_512.webp
81,https://www.meesho.com/sweatshirt-for-men-men-sweatshirt-sweatshirt-men-men-sweatshirt-hoodie-man-stylish-sweatshirt-woolen-sweatshirt-men-cotton-sweatshirt-man-winter-sweatshirt/p/7b92v7,Name:sweatshirt for men | men sweatshirt | sweatshirt men | men sweatshirt hoodie | man stylish sweatshirt | woolen sweatshirt men | cotton sweatshirt man | winter sweatshirt,https://images.meesho.com/images/products/442162627/xc2u2_512.webp
82,https://www.meesho.com/trandy-solid-full-sleeve-100fleece-sweatshirt/p/76doo0,Name:trandy solid full sleeve 100%fleece sweatshirt,https://images.meesho.com/images/products/433979424/amcr6_512.webp
83,https://www.meesho.com/princess-unique-jewellery-sets/p/1530e7,Name:Princess Unique Jewellery Sets,https://images.meesho.com/images/products/69004735/glmff_512.webp
84,https://www.meesho.com/vk-012/p/72tljo,Name:Vk 012,https://images.meesho.com/images/products/428003412/dril6_512.webp
85,https://www.meesho.com/oxodise-earrings-combo-of-12-colors-earrings-gold-plated-earrings-girls-womens-jhumka-earrings-traditional-engagement-earrings-multicolor-jhumki-earrings-designer-jhumka-earrings/p/6joy4r,Name:Oxodise Earrings Combo of 12 Colors Earrings Gold Plated Earrings | Girls'$ Women's   Jhumka Earrings |Traditional Engagement Earrings |Multicolor Jhumki Earrings |Designer Jhumka Earrings,https://images.meesho.com/images/products/395873739/3tast_512.webp
86,https://www.meesho.com/new-women-earring-mathapatti-and-mangtika-combo-set/p/6kyv1f,Name:NEW WOMEN EARRING MATHAPATTI AND MANGTIKA COMBO SET,https://images.meesho.com/images/products/398015907/ymgcy_512.webp
87,https://www.meesho.com/rhodium-plated-jewellery-set-white-austrian-diamond/p/1ezcnq,Name:Rhodium Plated Jewellery Set White Austrian Diamond,https://images.meesho.com/images/products/85630166/cisnh_512.webp
88,https://www.meesho.com/princess-fancy-jewellery-sets/p/788ch8,Name:Princess Fancy Jewellery Sets,https://images.meesho.com/images/products/437089580/lifzk_512.webp
89,https://www.meesho.com/jewellery-for-women-and-girl/p/57erjr,Name:Jewellery for women and girl,https://images.meesho.com/images/products/314777079/zkxhf_512.webp
90,https://www.meesho.com/mangalsutra-combo-buy-1-get-4-free/p/3iv002,Name:MANGALSUTRA COMBO [ BUY 1 GET 4 FREE ],https://images.meesho.com/images/products/213077954/mgkc1_512.webp
91,https://www.meesho.com/chokki-der/p/6bgqkq,Name:CHOKKI DER,https://images.meesho.com/images/products/382053770/ppjry_512.webp
92,https://www.meesho.com/samridhi-dc-princess-combo-pack-of-2-oxidised-jewellery-set/p/68nu9y,Name:Samridhi DC Princess Combo Pack of 2 Oxidised Jewellery Set,https://images.meesho.com/images/products/377346310/ffj4z_512.webp
